,split_1,split_2,split_3,split_4,split_5
haru_108,train,train,train,train,val
haru_109,train,train,train,train,val
haru_110,train,train,val,train,train
haru_111,val,train,train,train,train
haru_112,val,train,train,train,train
haru_113,val,train,train,train,train
haru_114,train,train,train,train,val
haru_115,train,val,train,train,train
haru_116,train,train,train,val,train
haru_117,train,train,train,train,val
haru_118,train,val,train,train,train
haru_119,val,train,train,train,train
haru_120,train,train,train,train,val
haru_121,train,val,train,train,train
haru_122,train,train,train,val,train
haru_123,train,val,train,train,train
haru_124,train,train,val,train,train
haru_125,val,train,train,train,train
haru_126,train,train,train,val,train
haru_127,train,val,train,train,train
haru_128,train,train,train,train,val
haru_129,train,val,train,train,train
haru_130,val,train,train,train,train
haru_131,train,val,train,train,train
haru_132,train,train,train,train,val
haru_133,val,train,train,train,train
haru_134,train,train,val,train,train
haru_135,train,train,train,val,train
haru_136,train,train,train,val,train
haru_137,train,train,val,train,train
haru_138,train,train,train,train,val
haru_139,train,train,train,val,train
haru_140,train,train,val,train,train
haru_141,train,train,train,train,val
haru_142,train,val,train,train,train
haru_143,val,train,train,train,train
haru_144,train,train,train,val,train
haru_145,train,train,train,val,train
haru_146,train,train,train,train,val
haru_147,train,val,train,train,train
haru_148,val,train,train,train,train
haru_149,val,train,train,train,train
haru_150,train,train,val,train,train
haru_151,train,val,train,train,train
haru_152,train,train,val,train,train
haru_153,train,val,train,train,train
haru_154,train,train,train,train,val
haru_155,val,train,train,train,train
haru_156,val,train,train,train,train
haru_157,train,train,train,train,val
haru_158,train,val,train,train,train
haru_159,train,train,val,train,train
haru_160,train,train,val,train,train
haru_161,train,train,val,train,train
haru_162,train,train,train,train,val
haru_163,train,train,val,train,train
haru_164,train,train,train,train,val
haru_165,val,train,train,train,train
haru_166,train,train,train,val,train
haru_167,val,train,train,train,train
haru_168,val,train,train,train,train
haru_169,train,train,train,train,val
haru_170,train,train,train,train,val
haru_171,train,val,train,train,train
haru_172,train,train,val,train,train
haru_173,train,train,train,train,val
haru_174,train,train,train,train,val
haru_175,train,train,val,train,train
haru_176,train,train,val,train,train
haru_177,train,train,val,train,train
haru_178,train,train,train,train,val
haru_179,val,train,train,train,train
haru_180,train,train,train,val,train
haru_181,val,train,train,train,train
haru_182,train,val,train,train,train
haru_183,train,train,val,train,train
haru_184,train,train,val,train,train
haru_185,train,train,train,train,val
haru_186,train,train,train,train,val
haru_187,train,train,train,train,val
haru_188,train,train,val,train,train
haru_189,val,train,train,train,train
haru_190,train,train,train,train,val
haru_191,train,val,train,train,train
haru_192,train,val,train,train,train
haru_193,val,train,train,train,train
haru_194,val,train,train,train,train
haru_195,train,train,train,val,train
haru_196,val,train,train,train,train
haru_197,train,train,val,train,train
haru_198,train,val,train,train,train
haru_199,train,val,train,train,train
haru_200,train,train,val,train,train
hime_001,train,train,val,train,train
hime_002,train,val,train,train,train
hime_003,train,train,val,train,train
hime_004,train,train,train,train,val
hime_005,train,train,train,train,val
hime_006,train,val,train,train,train
hime_007,train,train,train,train,val
hime_008,train,train,train,val,train
hime_009,train,val,train,train,train
hime_010,train,train,train,val,train
hime_011,train,train,train,val,train
hime_012,val,train,train,train,train
hime_013,train,train,val,train,train
hime_014,train,train,val,train,train
hime_015,train,train,val,train,train
hime_016,train,train,val,train,train
hime_017,train,val,train,train,train
hime_018,val,train,train,train,train
hime_019,train,train,train,train,val
hime_020,train,train,val,train,train
hime_021,val,train,train,train,train
hime_022,train,val,train,train,train
hime_023,train,val,train,train,train
hime_024,train,val,train,train,train
hime_025,train,train,train,val,train
hime_026,train,train,val,train,train
hime_027,train,train,train,val,train
hime_028,train,train,train,val,train
hime_029,train,val,train,train,train
hime_030,train,train,val,train,train
hime_031,train,train,val,train,train
hime_032,train,train,train,val,train
hime_033,train,train,train,val,train
hime_034,val,train,train,train,train
hime_035,train,train,train,val,train
hime_036,val,train,train,train,train
hime_037,val,train,train,train,train
hime_038,train,train,val,train,train
hime_039,train,val,train,train,train
hime_040,val,train,train,train,train
hime_041,train,train,train,train,val
hime_042,train,train,val,train,train
hime_043,train,train,val,train,train
hime_044,train,train,train,val,train
hime_045,train,val,train,train,train
hime_046,val,train,train,train,train
hime_047,train,train,train,train,val
hime_048,train,train,train,val,train
hime_049,train,val,train,train,train
hime_050,train,train,val,train,train
hime_051,train,train,train,val,train
hime_052,train,train,train,train,val
hime_053,train,train,train,val,train
hime_054,train,val,train,train,train
hime_055,train,val,train,train,train
hime_056,train,val,train,train,train
hime_057,train,train,train,val,train
hime_058,train,train,train,val,train
hime_059,train,train,train,val,train
hime_060,val,train,train,train,train
hime_061,train,train,train,train,val
hime_062,train,train,train,val,train
hime_063,train,val,train,train,train
hime_064,train,train,train,train,val
hime_065,val,train,train,train,train
hime_066,train,train,train,train,val
hime_067,train,train,train,train,val
hime_068,train,train,train,train,val
hime_069,train,train,train,val,train
hime_070,train,train,train,train,val
hime_071,train,val,train,train,train
hime_072,val,train,train,train,train
hime_073,val,train,train,train,train
hime_074,train,train,val,train,train
hime_075,val,train,train,train,train
hime_076,train,train,train,val,train
hime_077,train,train,train,val,train
hime_078,train,train,val,train,train
hime_079,train,train,train,train,val
hime_080,train,val,train,train,train
hime_081,train,train,val,train,train
hime_082,val,train,train,train,train
hime_083,val,train,train,train,train
hime_084,train,train,train,train,val
hime_085,train,train,train,train,val
hime_086,val,train,train,train,train
hime_087,train,train,train,val,train
hime_088,train,train,train,val,train
hime_089,train,train,train,val,train
hime_090,train,train,train,train,val
hime_091,val,train,train,train,train
hime_092,train,val,train,train,train
hime_093,train,train,train,val,train
hime_094,train,train,train,train,val
hime_095,train,train,val,train,train
hime_096,train,train,train,train,val
hime_097,val,train,train,train,train
hime_098,train,train,train,val,train
hime_099,train,train,val,train,train
hime_100,train,train,train,train,val
hime_101,train,train,train,val,train
hime_102,train,train,train,train,val
hime_103,train,train,val,train,train
hime_104,val,train,train,train,train
hime_105,train,train,val,train,train
hime_106,val,train,train,train,train
hime_107,train,val,train,train,train
hime_108,train,train,val,train,train
hime_109,train,train,val,train,train
hime_110,train,train,train,train,val
hime_111,train,val,train,train,train
hime_112,train,train,train,train,val
hime_113,train,train,val,train,train
hime_114,train,val,train,train,train
hime_115,train,val,train,train,train
hime_116,train,train,val,train,train
hime_117,val,train,train,train,train
hime_118,train,train,val,train,train
hime_119,train,val,train,train,train
hime_120,train,train,val,train,train
hime_121,train,train,train,train,val
hime_122,train,train,train,train,val
hime_123,train,train,train,val,train
hime_124,train,train,val,train,train
hime_125,train,train,val,train,train
hime_126,train,train,train,train,val
hime_127,train,train,train,val,train
hime_128,train,train,val,train,train
hime_129,val,train,train,train,train
hime_130,train,val,train,train,train
hime_131,train,train,train,val,train
hime_132,train,train,train,train,val
hime_133,train,train,train,val,train
hime_134,train,val,train,train,train
hime_135,train,train,train,train,val
hime_136,train,train,train,val,train
hime_137,train,val,train,train,train
hime_138,val,train,train,train,train
hime_139,train,train,val,train,train
hime_140,train,train,train,val,train
hime_141,train,val,train,train,train
hime_142,val,train,train,train,train
hime_143,val,train,train,train,train
hime_144,train,train,train,val,train
hime_145,train,train,val,train,train
hime_146,train,train,train,val,train
hime_147,train,train,train,val,train
hime_148,train,train,train,train,val
hime_149,train,train,train,val,train
hime_150,val,train,train,train,train
hime_151,train,val,train,train,train
hime_152,val,train,train,train,train
hime_153,train,val,train,train,train
hime_154,train,train,val,train,train
hime_155,val,train,train,train,train
hime_156,val,train,train,train,train
hime_157,train,val,train,train,train
hime_158,train,train,train,val,train
hime_159,train,train,train,train,val
hime_160,train,train,train,val,train
hime_161,val,train,train,train,train
hime_162,val,train,train,train,train
hime_163,val,train,train,train,train
hime_164,train,train,train,val,train
hime_165,train,val,train,train,train
hime_166,val,train,train,train,train
hime_167,train,val,train,train,train
hime_168,train,val,train,train,train
hime_169,train,train,train,train,val
hime_170,train,train,val,train,train
hime_171,train,train,train,val,train
hime_172,train,train,val,train,train
hime_173,train,train,train,val,train
hime_174,train,train,train,train,val
hime_175,train,val,train,train,train
hime_176,train,train,train,train,val
hime_177,train,val,train,train,train
hime_178,train,train,val,train,train
hime_179,train,val,train,train,train
hime_180,train,train,train,val,train
hime_181,val,train,train,train,train
hime_182,val,train,train,train,train
hime_183,train,train,train,train,val
hime_184,val,train,train,train,train
hime_185,train,train,val,train,train
hime_186,train,train,val,train,train
hime_187,train,train,train,train,val
hime_188,train,train,train,val,train
hime_189,train,val,train,train,train
hime_190,train,train,train,val,train
hime_191,train,train,train,val,train
hime_192,train,train,train,val,train
hime_193,train,train,train,val,train
hime_194,train,train,train,train,val
hime_195,train,train,val,train,train
hime_196,train,train,val,train,train
hime_197,train,train,train,train,val
hime_198,train,train,val,train,train
hime_199,train,val,train,train,train
hime_200,val,train,train,train,train
